Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D2,25/02/18,St Pauli,Holstein Kiel,3,2,H,1,2,A,9,12,3,7,7,11,5,6,1,3,0,0
D2,02/03/18,Dresden,Darmstadt,0,2,A,0,1,A,20,9,3,5,4,6,4,5,1,0,0,0
D2,02/03/18,Kaiserslautern,Union Berlin,4,3,H,2,1,H,12,13,7,6,10,19,2,6,3,0,0,0
D2,03/03/18,Holstein Kiel,Duisburg,5,0,H,2,0,H,19,3,5,1,11,10,5,3,0,2,0,0
D2,03/03/18,Nurnberg,Greuther Furth,0,2,A,0,0,D,19,13,2,5,12,15,8,3,0,2,0,0
D2,03/03/18,Sandhausen,Erzgebirge Aue,1,1,D,0,0,D,15,6,5,3,15,9,5,2,1,3,0,0
D2,04/03/18,Braunschweig,Regensburg,2,1,H,1,0,H,15,10,9,4,16,19,1,8,4,4,0,0
D2,04/03/18,Fortuna Dusseldorf,St Pauli,2,1,H,1,0,H,18,17,8,1,12,15,6,9,1,0,0,0
D2,04/03/18,Heidenheim,Bielefeld,2,2,D,1,0,H,11,13,4,6,11,13,5,6,1,2,0,0
D2,05/03/18,Ingolstadt,Bochum,0,1,A,0,1,A,15,13,4,4,16,16,6,6,3,3,0,0
D2,09/03/18,Bielefeld,Nurnberg,1,0,H,0,0,D,15,10,3,3,14,19,7,1,2,2,0,0
